,area_type,availability,location,size,society,total_sqft,bath,balcony,price(in lakhs),bhk,price_per_sqft
0,Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170.0,2.0,1.0,38.0,2.0,3247.863247863248
1,Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515
2,Super built-up  Area,Ready To Move,other,1,Ceove G,600.0,1.0,0.0,38.0,1.0,6333.333333333333
3,Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1330.74,2.0,2.0,91.79,2.0,6897.665960292769
4,Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358.0,2.0,1.0,80.58,2.0,5933.726067746687
5,Super built-up  Area,Ready To Move,other,3,,1450.0,2.0,2.0,70.0,3.0,4827.586206896552
6,Super built-up  Area,Ready To Move,other,2,Makeser,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
7,Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1500.0,2.0,1.0,78.0,2.0,5200.0
8,Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1828.0,3.0,,110.0,3.0,6017.505470459519
9,Super built-up  Area,Ready To Move,Hulimavu,2,Prcan P,1125.0,2.0,2.0,50.0,2.0,4444.444444444444
10,Super built-up  Area,Ready To Move,other,3,Hohnari,2000.0,3.0,1.0,175.0,3.0,8750.0
11,Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500.0,2.0,1.0,64.5,3.0,4300.0
12,Super built-up  Area,Ready To Move,Malleshwaram,1,Utntspa,705.0,1.0,2.0,67.0,1.0,9503.54609929078
13,Super built-up  Area,Ready To Move,Hulimavu,2,Aniona ,1242.0,2.0,3.0,51.0,2.0,4106.280193236715
14,Built-up  Area,Ready To Move,other,4,,2000.0,4.0,1.0,75.5,4.0,3775.0
15,Super built-up  Area,Ready To Move,other,3,MacleK ,2405.0,4.0,2.0,260.0,3.0,10810.81081081081
16,Plot  Area,Ready To Move,other,2,,900.0,2.0,1.0,110.0,2.0,12222.222222222223
17,Super built-up  Area,Ready To Move,Kaggadasapura,3,,1280.0,2.0,2.0,56.0,3.0,4375.0
18,Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coush W,1069.0,2.0,2.0,45.0,2.0,4209.541627689429
19,Super built-up  Area,Ready To Move,other,2,Puodse ,1113.0,2.0,1.0,51.0,2.0,4582.210242587601
20,Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128.0,2.0,1.0,65.0,2.0,5762.41134751773
21,Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600.0,3.0,3.0,64.0,3.0,4000.0
22,Super built-up  Area,18-May,Jalahalli,3,Shard T,1400.0,3.0,0.0,77.0,3.0,5500.0
23,Built-up  Area,20-Dec,other,3,,1629.0,3.0,2.0,79.0,3.0,4849.600982197668
24,Built-up  Area,Ready To Move,other,2,VMowsea,1460.0,2.0,1.0,58.0,2.0,3972.6027397260273
25,Super built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208.0,3.0,1.0,45.0,3.0,3725.1655629139073
26,Super built-up  Area,Ready To Move,Whitefield,4,Haestt ,3252.0,4.0,1.0,230.0,4.0,7072.570725707257
27,Super built-up  Area,Ready To Move,Hulimavu,3,,1650.0,3.0,2.0,78.0,3.0,4727.272727272727
28,Plot  Area,Ready To Move,Sector 7 HSR Layout,4,,3000.0,5.0,1.0,275.0,4.0,9166.666666666666
29,Super built-up  Area,Ready To Move,Hebbal,3,Brium C,3450.0,5.0,2.0,260.0,3.0,7536.231884057971
30,Plot  Area,Ready To Move,other,2,,1800.0,1.0,1.0,80.0,2.0,4444.444444444444
31,Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490.0,3.0,1.0,84.0,3.0,5637.583892617449
32,Super built-up  Area,Ready To Move,HSR Layout,3,,1430.0,2.0,1.0,65.0,3.0,4545.454545454545
33,Super built-up  Area,Ready To Move,Kalena Agrahara,3,MancyRe,1450.0,2.0,3.0,85.0,3.0,5862.068965517241
34,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133.0,2.0,1.0,49.07,2.0,4330.979699911739
35,Carpet  Area,Ready To Move,Bannerghatta Road,3,,1445.0,3.0,2.0,95.0,3.0,6574.39446366782
36,Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3800.0,4.0,3.0,250.0,4.0,6578.9473684210525
37,Super built-up  Area,Ready To Move,GM Palaya,3,Chnts A,1820.0,2.0,3.0,86.0,3.0,4725.274725274725
38,Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1210.0,2.0,1.0,45.98,2.0,3800.0
39,Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153.0,2.0,2.0,57.0,2.0,4943.625325238509
40,Super built-up  Area,Ready To Move,Kaggadasapura,2,SLireap,1185.0,2.0,1.0,41.0,2.0,3459.915611814346
41,Super built-up  Area,Ready To Move,other,1,Bhmesy ,445.0,1.0,0.0,28.0,1.0,6292.134831460674
42,Super built-up  Area,Ready To Move,Gottigere,3,Sklls C,1618.0,3.0,3.0,82.5,3.0,5098.887515451174
43,Super built-up  Area,Ready To Move,KR Puram,2,LVniaar,1225.0,2.0,1.0,46.55,2.0,3800.0
44,Built-up  Area,19-Dec,Uttarahalli,2,,1345.0,2.0,1.0,67.0,2.0,4981.412639405205
45,Built-up  Area,Ready To Move,other,4,,1500.0,4.0,,180.0,4.0,12000.0
46,Super built-up  Area,Ready To Move,other,3,,2400.0,2.0,0.0,80.0,3.0,3333.3333333333335
47,Plot  Area,Ready To Move,Ramamurthy Nagar,5,,1800.0,4.0,3.0,187.0,5.0,10388.888888888889
48,Built-up  Area,18-Mar,Kundalahalli,2,Dieldli,1047.0,2.0,1.0,82.0,2.0,7831.900668576886
49,Built-up  Area,Ready To Move,Kasavanhalli,4,Vaidsi ,3260.0,4.0,1.0,240.0,4.0,7361.963190184049
50,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Vasta C,1190.0,2.0,1.0,49.98,2.0,4200.0
51,Super built-up  Area,19-Jan,Mysore Road,2,,1175.0,2.0,1.0,73.5,2.0,6255.31914893617
52,Super built-up  Area,Ready To Move,ITPL,3,,1548.0,3.0,2.0,89.5,3.0,5781.6537467700255
53,Built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1256.0,2.0,1.0,62.8,2.0,5000.0
54,Super built-up  Area,Ready To Move,TC Palaya,3,RKncyha,1600.0,2.0,2.0,65.0,3.0,4062.5
55,Super built-up  Area,18-Apr,Haralur Road,4,SNnia E,2805.0,4.0,3.0,154.0,4.0,5490.196078431372
56,Plot  Area,Ready To Move,Whitefield,4,Saark H,2400.0,4.0,3.0,200.0,4.0,8333.333333333334
57,Super built-up  Area,18-Apr,Marathahalli,2,Spows M,1152.0,2.0,1.0,56.0,2.0,4861.111111111111
58,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1050.0,2.0,1.0,42.0,2.0,4000.0
59,Built-up  Area,Ready To Move,Uttarahalli,2,Sungsha,1150.0,2.0,1.0,49.0,2.0,4260.869565217391
60,Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,924.0,2.0,2.0,65.0,2.0,7034.632034632034
61,Super built-up  Area,Ready To Move,Sonnenahalli,3,DSgam S,1415.0,2.0,1.0,55.0,3.0,3886.9257950530036
62,Plot  Area,Ready To Move,other,3,,1200.0,3.0,1.0,85.0,3.0,7083.333333333333
63,Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530.0,2.0,2.0,74.4,3.0,4862.745098039216
64,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,980.0,2.0,2.0,69.0,2.0,7040.816326530612
65,Super built-up  Area,Ready To Move,Jigani,3,DLhtsan,1300.0,3.0,3.0,150.0,3.0,11538.461538461539
66,Built-up  Area,Ready To Move,Sarjapur,2,Sondaka,1020.0,2.0,2.0,35.0,2.0,3431.372549019608
67,Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160.0,2.0,2.0,44.08,2.0,3800.0
68,Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246.0,2.0,1.0,68.0,2.0,5457.463884430176
69,Carpet  Area,18-Dec,Bhoganhalli,2,Rosha I,804.1,2.0,1.0,69.09,2.0,8592.214898644446
70,Built-up  Area,Ready To Move,Singasandra,4,,3850.0,6.0,3.0,195.0,4.0,5064.935064935065
71,Super built-up  Area,17-Oct,Whitefield,2,Asarqz ,1277.0,2.0,1.0,61.3,2.0,4800.313234142522
72,Super built-up  Area,Ready To Move,Hebbal,2,,1080.0,2.0,1.0,54.0,2.0,5000.0
73,Super built-up  Area,18-Nov,Whitefield,2,,1125.0,2.0,2.0,62.0,2.0,5511.111111111111
74,Built-up  Area,Ready To Move,HBR Layout,3,Peentn ,2800.0,2.0,0.0,200.0,3.0,7142.857142857143
75,Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883.0,2.0,1.0,39.0,2.0,4416.761041902605
76,Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1757.0,3.0,2.0,132.0,3.0,7512.805919180421
77,Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460.0,2.0,2.0,72.0,3.0,4931.506849315068
78,Built-up  Area,Ready To Move,other,3,Keharya,1250.0,2.0,1.0,80.0,3.0,6400.0
79,Super built-up  Area,Ready To Move,Akshaya Nagar,3,Hiows C,1476.0,3.0,1.0,120.0,3.0,8130.081300813008
80,Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1691.0,3.0,2.0,119.0,3.0,7037.25606150207
81,Built-up  Area,Ready To Move,Nagavarapalya,2,,980.0,2.0,0.0,37.0,2.0,3775.5102040816328
82,Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1564.0,3.0,1.0,101.0,3.0,6457.800511508952
83,Super built-up  Area,Ready To Move,GM Palaya,2,Samesan,1000.0,2.0,1.0,36.0,2.0,3600.0
84,Plot  Area,Ready To Move,Magadi Road,4,,1500.0,2.0,2.0,93.0,4.0,6200.0
85,Super built-up  Area,Ready To Move,Gottigere,3,,1600.0,2.0,2.0,55.0,3.0,3437.5
86,Super built-up  Area,Ready To Move,other,2,Dural C,1265.0,2.0,3.0,70.0,2.0,5533.596837944664
87,Super built-up  Area,Ready To Move,other,3,AkletBa,2045.0,4.0,3.0,154.0,3.0,7530.562347188264
88,Super built-up  Area,Ready To Move,Bellandur,3,AkonyHa,1490.0,2.0,2.0,98.0,3.0,6577.181208053691
89,Super built-up  Area,Ready To Move,Haralur Road,3,NDionas,2017.0,3.0,2.0,125.0,3.0,6197.322756569162
90,Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122.0,6.0,2.0,235.0,4.0,7527.226137091608
91,Built-up  Area,Ready To Move,other,2,Dhnts A,1415.0,2.0,3.0,110.0,2.0,7773.851590106007
92,Super built-up  Area,Ready To Move,Ambedkar Nagar,2,SoechHa,1424.0,2.0,2.0,90.0,2.0,6320.224719101124
93,Super built-up  Area,18-Aug,other,3,,1340.0,2.0,1.0,100.0,3.0,7462.686567164179
94,Super built-up  Area,22-Jun,Hoodi,3,GoAirej,1837.0,3.0,3.0,145.0,3.0,7893.304300489929
95,Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1673.0,3.0,2.0,115.0,3.0,6873.879258816497
96,Super built-up  Area,Ready To Move,Channasandra,3,Pritehi,1470.0,2.0,1.0,90.0,3.0,6122.448979591837
97,Super built-up  Area,Ready To Move,other,2,,1200.0,2.0,1.0,49.5,2.0,4125.0
98,Built-up  Area,Ready To Move,BTM Layout,3,,3000.0,3.0,0.0,338.0,3.0,11266.666666666666
99,Super built-up  Area,Ready To Move,other,2,DubowRa,1140.0,2.0,1.0,76.0,2.0,6666.666666666667
100,Built-up  Area,Ready To Move,other,2,,1370.0,2.0,2.0,75.0,2.0,5474.4525547445255
101,Built-up  Area,Ready To Move,other,2,,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
102,Super built-up  Area,19-Oct,Sarjapur  Road,2,Brareio,1233.0,2.0,2.0,77.65,2.0,6297.6480129764805
103,Built-up  Area,Ready To Move,other,3,,1700.0,3.0,,80.0,3.0,4705.882352941177
104,Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1345.0,2.0,1.0,57.0,3.0,4237.918215613383
105,Super built-up  Area,Ready To Move,other,4,,3500.0,4.0,3.0,350.0,4.0,10000.0
106,Super built-up  Area,18-Jun,8th Phase JP Nagar,3,,1230.0,2.0,2.0,43.5,3.0,3536.5853658536585
107,Super built-up  Area,Ready To Move,Padmanabhanagar,2,Bhise P,1100.0,2.0,2.0,65.0,2.0,5909.090909090909
108,Built-up  Area,Ready To Move,other,3,Sancybr,2400.0,3.0,1.0,260.0,3.0,10833.333333333334
109,Super built-up  Area,Ready To Move,Akshaya Nagar,3,Hiows C,1720.0,3.0,1.0,134.0,3.0,7790.697674418605
110,Super built-up  Area,19-Dec,7th Phase JP Nagar,4,Puarero,2503.0,4.0,0.0,188.0,4.0,7510.986815821015
111,Super built-up  Area,Ready To Move,other,2,,1175.0,2.0,2.0,48.27,2.0,4108.085106382979
112,Built-up  Area,Ready To Move,Marathahalli,3,,1350.0,3.0,1.0,72.0,3.0,5333.333333333333
113,Super built-up  Area,Ready To Move,Whitefield,3,Brony H,1870.0,3.0,2.0,90.0,3.0,4812.834224598931
114,Super built-up  Area,Ready To Move,Sarjapur  Road,2,Mades G,1255.0,2.0,1.0,92.0,2.0,7330.677290836654
115,Plot  Area,Ready To Move,other,3,,1550.0,2.0,1.0,150.0,3.0,9677.41935483871
116,Super built-up  Area,18-Aug,Uttarahalli,3,DSera S,1845.0,2.0,1.0,68.27,3.0,3700.271002710027
117,Super built-up  Area,Ready To Move,other,2,Sid 2ss,1165.0,2.0,1.0,135.0,2.0,11587.982832618025
118,Super built-up  Area,Ready To Move,Nagavara,3,,2319.0,3.0,2.0,180.0,3.0,7761.966364812419
119,Super built-up  Area,Ready To Move,Munnekollal,2,Akave E,1200.0,2.0,2.0,49.5,2.0,4125.0
120,Built-up  Area,Ready To Move,other,2,Prineth,955.0,1.0,2.0,34.01,2.0,3561.256544502618
121,Super built-up  Area,Ready To Move,Bharathi Nagar,3,FoapeWa,1739.0,3.0,1.0,105.0,3.0,6037.952846463485
122,Super built-up  Area,Ready To Move,other,2,,1100.0,2.0,1.0,38.45,2.0,3495.454545454546
123,Super built-up  Area,Ready To Move,Kanakapura,2,,1130.0,2.0,1.0,45.2,2.0,4000.0
124,Carpet  Area,18-Dec,Hebbal,2,Arcia S,823.0,2.0,1.0,50.63,2.0,6151.883353584447
125,Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745.0,3.0,2.0,115.0,3.0,6590.25787965616
126,Built-up  Area,Ready To Move,Bommanahalli,2,,1090.0,3.0,2.0,44.0,2.0,4036.697247706422
127,Super built-up  Area,Ready To Move,Doddathoguru,2,Arensh ,1030.0,2.0,2.0,42.0,2.0,4077.669902912621
128,Built-up  Area,Ready To Move,Bhoganhalli,3,Prsun S,1700.0,3.0,2.0,126.0,3.0,7411.764705882353
129,Built-up  Area,Ready To Move,Bannerghatta Road,2,Haaceal,912.0,2.0,1.0,55.0,2.0,6030.701754385965
130,Super built-up  Area,Ready To Move,Sarjapur  Road,3,Asncywo,1725.0,3.0,3.0,90.0,3.0,5217.391304347826
131,Built-up  Area,Ready To Move,5th Phase JP Nagar,3,,1700.0,2.0,3.0,100.0,3.0,5882.35294117647
132,Super built-up  Area,Ready To Move,Varthur,2,Maine J,977.0,2.0,2.0,36.0,2.0,3684.74923234391
133,Super built-up  Area,17-Dec,Jakkur,2,BrdgeNo,1290.0,2.0,1.0,100.0,2.0,7751.937984496124
134,Plot  Area,Ready To Move,other,3,AreraRe,1200.0,3.0,1.0,90.0,3.0,7500.0
135,Super built-up  Area,Ready To Move,Whitefield,2,BrlisCo,1320.0,2.0,1.0,95.0,2.0,7196.969696969697
136,Super built-up  Area,Ready To Move,Hosa Road,2,,1243.0,2.0,2.0,48.5,2.0,3901.850362027353
137,Super built-up  Area,Ready To Move,other,3,,1690.0,3.0,2.0,100.0,3.0,5917.15976331361
138,Plot  Area,Ready To Move,Ramamurthy Nagar,3,,1330.0,4.0,1.0,140.0,3.0,10526.315789473685
139,Plot  Area,Ready To Move,Ambedkar Nagar,5,Thessrm,5530.0,5.0,3.0,627.0,5.0,11338.155515370705
140,Super built-up  Area,19-Jun,Hebbal,3,Raard B,1700.0,3.0,2.0,124.0,3.0,7294.117647058823
141,Plot  Area,19-Dec,Sarjapura - Attibele Road,4,,1800.0,4.0,,110.0,4.0,6111.111111111111
142,Built-up  Area,Ready To Move,Vijayanagar,2,,989.0,2.0,0.0,60.0,2.0,6066.734074823054
143,Super built-up  Area,Ready To Move,Sarjapur  Road,3,Ceiti I,1888.0,4.0,1.0,95.0,3.0,5031.779661016949
144,Super built-up  Area,Ready To Move,other,2,,1175.0,2.0,1.0,48.0,2.0,4085.1063829787236
145,Built-up  Area,Ready To Move,Indira Nagar,2,VKvenas,1210.0,2.0,1.0,102.0,2.0,8429.752066115703
146,Built-up  Area,Ready To Move,other,1,,900.0,1.0,1.0,30.0,1.0,3333.3333333333335
147,Super built-up  Area,18-Mar,Hosakerehalli,3,SoageHe,1817.0,4.0,,153.0,3.0,8420.473307649972
148,Super built-up  Area,19-Oct,Kadubeesanahalli,2,,970.0,2.0,1.0,35.0,2.0,3608.2474226804125
149,Built-up  Area,Ready To Move,other,2,,900.0,2.0,3.0,46.0,2.0,5111.111111111111
150,Super built-up  Area,18-Jul,Hosa Road,3,Sosisic,1665.0,2.0,3.0,125.0,3.0,7507.507507507507
151,Super built-up  Area,18-Dec,Kanakapura,2,GoityEt,1295.0,2.0,2.0,64.0,2.0,4942.084942084942
152,Plot  Area,Ready To Move,Anandapura,2,,1200.0,2.0,1.0,67.0,2.0,5583.333333333333
153,Built-up  Area,Ready To Move,other,3,Puceswn,1596.0,3.0,0.0,95.0,3.0,5952.380952380952
154,Built-up  Area,Ready To Move,other,3,ShanaSp,1639.0,3.0,3.0,123.0,3.0,7504.5759609518
155,Super built-up  Area,Ready To Move,Bellandur,4,Sonyxa ,3016.0,4.0,3.0,230.0,4.0,7625.994694960213
156,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,NCaveun,2024.0,3.0,,157.0,3.0,7756.916996047431
157,Super built-up  Area,Ready To Move,other,2,Sothin ,925.0,2.0,3.0,42.0,2.0,4540.540540540541
158,Super built-up  Area,Ready To Move,Kannamangala,2,Marnaer,1262.0,2.0,2.0,55.0,2.0,4358.161648177496
159,Super built-up  Area,Ready To Move,Yelachenahalli,2,BaiseBa,1080.0,2.0,2.0,55.0,2.0,5092.592592592592
160,Super built-up  Area,Ready To Move,other,2,Jaangm ,1301.0,2.0,2.0,55.0,2.0,4227.517294388932
161,Super built-up  Area,Ready To Move,other,3,,1500.0,2.0,2.0,89.99,3.0,5999.333333333333
162,Super built-up  Area,19-Nov,Sarjapur  Road,2,AsastDe,984.0,2.0,1.0,45.91,2.0,4665.650406504065
163,Super built-up  Area,Ready To Move,Gottigere,3,Pridei ,1500.0,3.0,2.0,70.0,3.0,4666.666666666667
164,Plot  Area,Ready To Move,Konanakunte,4,,1200.0,4.0,0.0,125.0,4.0,10416.666666666666
165,Super built-up  Area,Ready To Move,Varthur,3,MKllei ,1665.0,3.0,1.0,53.0,3.0,3183.1831831831832
166,Super built-up  Area,Ready To Move,other,2,,995.0,2.0,1.0,34.82,2.0,3499.497487437186
167,Plot  Area,18-Mar,Sarjapur,3,,2238.0,3.0,1.0,140.0,3.0,6255.585344057194
168,Built-up  Area,Ready To Move,Thubarahalli,2,Soowsa ,975.0,2.0,1.0,55.0,2.0,5641.025641025641
169,Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110.0,2.0,1.0,40.0,2.0,3603.6036036036035
170,Super built-up  Area,Ready To Move,AECS Layout,2,Srestve,1080.0,2.0,2.0,55.0,2.0,5092.592592592592
171,Super built-up  Area,Ready To Move,Rachenahalli,2,,1224.0,2.0,3.0,39.2,2.0,3202.614379084968
172,Super built-up  Area,Ready To Move,Thanisandra,4,Soitya ,3216.0,4.0,1.0,226.0,4.0,7027.363184079602
